DT_GERACAO;SG_UF;NM_UE;DS_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_FEDERACAO;SG_FEDERACAO;DS_COMPOSICAO_FEDERACAO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13620;ADILSON PIRES;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13400;THAYSA VENTURA;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;43000;CÉSAR;FEDERAÇÃO;43;PV;PARTIDO VERDE;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12211;PEDRO MENDES;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12099;FABIO FEIJÓ;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12033;ALCYR BARÃO;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12333;NALDO DA SAUDE;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12423;ANDREA RIBEIRO;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12030;LUIZINHO EVANGELISTA;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12346;EDSON RIBEIRO PITIMBU;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12011;BISPO REIS DA SAÚDE;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12444;WILLIAM BARCELLOS;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12312;CLOVINHO SEMPRE JUNTO;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40002;JEAN MORAES;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40751;LÉLIO;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40100;JARI;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40654;PASTOR CARLOS SILVA;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40335;MOLINA;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40369;DR GILMAR SANTOS;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40153;DR HAROLDO BUNN;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40444;WALACE PRESIDENTE;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40020;NILTINHO;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40846;TIA VAL;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;23222;ANDRÉ MARTINS;FEDERAÇÃO;23;CIDADANIA;CIDADANIA;FEDERAÇÃO PSDB CIDADANIA;PSDB/CIDADANIA;PSDB/CIDADANIA;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSDB CIDADANIA (PSDB / CIDADANIA)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;23980;AGUEDA MOURA;FEDERAÇÃO;23;CIDADANIA;CIDADANIA;FEDERAÇÃO PSDB CIDADANIA;PSDB/CIDADANIA;PSDB/CIDADANIA;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSDB CIDADANIA (PSDB / CIDADANIA)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;50555;MARCUS LOPES;FEDERAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FEDERAÇÃO PSOL REDE;PSOL/REDE;PSOL/REDE;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSOL REDE (PSOL / REDE)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;80456;DULCE;PARTIDO ISOLADO;80;UP;UNIDADE POPULAR;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;UP
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;80000;HENDERSON;PARTIDO ISOLADO;80;UP;UNIDADE POPULAR;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;UP
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;50800;ALEXANDRE VR ABANDONADA;FEDERAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FEDERAÇÃO PSOL REDE;PSOL/REDE;PSOL/REDE;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSOL REDE (PSOL / REDE)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;18188;TEREZA ARAPIUM;FEDERAÇÃO;18;REDE;REDE SUSTENTABILIDADE;FEDERAÇÃO PSOL REDE;PSOL/REDE;PSOL/REDE;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSOL REDE (PSOL / REDE)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;18234;MÃE MARIA DE XANGÔ;FEDERAÇÃO;18;REDE;REDE SUSTENTABILIDADE;FEDERAÇÃO PSOL REDE;PSOL/REDE;PSOL/REDE;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSOL REDE (PSOL / REDE)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13681;WILLIAM MACEDO;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13007;ROSE CIPRIANO;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13677;GRAÇA DO PT;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13456;TUNINHO DA PADARIA;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13193;ZÉ ALEXANDRE;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13131;KATIA MACILLO;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12712;JORGE KATARINA;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12600;VLAD BIGODE;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12179;ANNA CRISTINA PINHEIRO;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12222;JUNIOR UIOS;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12180;SUSY;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12322;ROBERTA BOMBOM;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12001;LÉO MAGALHÃES;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12190;HELÔ CORDEIRO;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40809;LEVI ALVES;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40440;ROSINHA;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40567;DRA MARIANA MORAES;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40010;MARCELO FRITZ;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40707;JUNIOR MOTOTÁXI;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40111;EZAQUIEL SIQUEIRA;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40021;PAULO HORN;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40209;ALEXXA;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40611;FABÍOLA DO BALNEÁRIO;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;23018;SGT CALVETE;FEDERAÇÃO;23;CIDADANIA;CIDADANIA;FEDERAÇÃO PSDB CIDADANIA;PSDB/CIDADANIA;PSDB/CIDADANIA;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSDB CIDADANIA (PSDB / CIDADANIA)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;50077;MONICA CUNHA;FEDERAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FEDERAÇÃO PSOL REDE;PSOL/REDE;PSOL/REDE;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSOL REDE (PSOL / REDE)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;43333;PROFESSORA TÂNIA MARA;FEDERAÇÃO;43;PV;PARTIDO VERDE;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13967;PR. HUDSON M;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;43400;BRUNO VACA;FEDERAÇÃO;43;PV;PARTIDO VERDE;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;43334;FELIPE ALVES;FEDERAÇÃO;43;PV;PARTIDO VERDE;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13913;NEY SOARES;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13113;JOÃO PANAYOTIS DAMATIS;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;65123;DANI BALBI;FEDERAÇÃO;65;PCDOB;PARTIDO COMUNISTA DO BRASIL;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13813;EDNA CALHEIROS MANDATOCOLETIVO;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;13040;LÉO FRANÇA;FEDERAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12678;BADI;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12051;CHUPA CABRA;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12010;VIVI RODRIGUES;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12620;HELANIO DE RESENDE;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12514;ABIGUAR;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12088;SONIA APARECIDA;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12123;SERGINHO;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12007;BRANCA SANTOS;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12666;FELIPE SANGINETO;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12077;MÃE ODÉLEWÁ;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;12120;RODRIGO DA APOSENTADORIA;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PDT
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40008;MARCINHA DO POVO;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40140;EVANDRO BRASIL;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40797;IYALORISA JANAINA;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40001;ANDRÉ SALVADOR;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40040;DR SÉRGIO;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40903;MICHELLE ALMEIDA;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40450;DEISE FRANKLIN;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40456;LILI SOLDADORA;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;40852;BATATINHA;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSB
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;23765;D GLÓRIA;FEDERAÇÃO;23;CIDADANIA;CIDADANIA;FEDERAÇÃO PSDB CIDADANIA;PSDB/CIDADANIA;PSDB/CIDADANIA;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSDB CIDADANIA (PSDB / CIDADANIA)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;23454;SARGENTO GUSTAVO;FEDERAÇÃO;23;CIDADANIA;CIDADANIA;FEDERAÇÃO PSDB CIDADANIA;PSDB/CIDADANIA;PSDB/CIDADANIA;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSDB CIDADANIA (PSDB / CIDADANIA)
14/09/2026;RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;18013;ALVARO TRAVASSOS;FEDERAÇÃO;18;REDE;REDE SUSTENTABILIDADE;FEDERAÇÃO PSOL REDE;PSOL/REDE;PSOL/REDE;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSOL REDE (PSOL / REDE)
